"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"132211016",126724,73333,72290,72476,69680,60102
"132261014",185552,111135,109926,110233,105760,83844
"132281008",135884,75175,74863,74771,74002,69580
"132291010",153223,88233,87944,87875,87162,83780
"132351006",110129,63219,62694,62736,60632,55860
"132451015",178509,104160,102745,102972,98676,75322
"132471009",71786,40684,40415,40366,40017,39475
"132491008",99579,52178,51694,51821,50080,46615
"132541016",23277,13679,13314,13339,12440,11488
"132551009",120617,67639,66853,66887,64157,54735
"132631006",128215,73948,73302,73405,71702,66435
"132671016",128716,74784,73159,73622,68988,57239
"132681010",188830,114778,114317,114019,112715,110138
"132701008",61362,35292,35037,34940,34273,34057
"132711008",164550,92869,92651,92602,92004,88593
"132761005",105283,57715,57437,57405,56309,51924
"132761009",133599,70757,70249,70355,68515,64830
"132761013",179355,101363,99713,100299,94345,78723
"132861014",113997,67295,64470,65624,58121,50383
"132901008",79616,43797,43406,43433,42033,41234
"132911006",114610,68460,67824,67934,65943,61618
"132931014",133743,69023,68469,68602,66030,59471
"133011014",150806,91217,90506,90618,88979,79463
"133021007",116096,68454,67923,67882,66067,62408
"133081010",153654,92882,91749,91942,86710,64364
"133091012",137055,80268,78532,78975,74068,59941
"133141005",133307,76690,75670,75884,71936,60054
"133141013",123704,72294,71495,71618,69739,67920
"133261007",94569,53498,53307,53256,52931,52353
"133271008",121516,68220,67435,67681,64598,60892
"133391011",89071,52795,51979,52153,49641,43656
"133431010",130904,71441,70954,70974,69810,67549
"133451007",162290,87418,87002,87060,85410,80175
"133491013",185633,107847,106653,106808,102361,89913
"133621006",120206,65775,65437,65457,64645,60571
"235041011",175208,97016,96565,96614,94588,81753
"235041013",69951,37703,37483,37482,37201,36855
"235041015",113378,65992,65467,65455,63130,54532
"235051016",106662,60779,59703,59951,56786,51130
"235051021",86725,48894,47028,47580,43393,38541
"235071007",122893,67733,67277,67442,65640,60223
"235071012",111457,62172,61626,61684,59311,56100
"235081019",153384,86042,85652,85658,84022,78027
"235111015",147175,81426,80433,80578,77206,74429
"235171012",45501,24747,24595,24607,24219,24219
"235201013",83704,46719,45683,46027,43128,38981
"235281017",79295,46422,45077,45481,43202,40846
"235291015",134039,74851,73964,74335,70925,61129
"235301021",116300,66193,64707,65096,60834,56937
"235371016",71118,39460,38597,38931,37436,37093
"235381019",87692,50157,49459,49535,46688,41733
"235451017",157799,93815,93151,93330,91137,76705
"235491012",101248,55903,55574,55578,54556,51934
"235491018",91787,55106,53683,54200,50049,42820
"235511013",142409,79125,78456,78604,76343,69553
"235571012",155112,87458,86819,86801,84142,78736
"235581006",125253,68157,67955,67897,67214,64604
"235691009",92016,52917,52481,52547,50472,46774
"235691020",102134,60906,60611,60619,60227,57491
"235701019",106522,59160,58066,58507,55247,50280
"235711013",63710,36043,35944,35888,35677,35628
"235731010",87852,46753,46449,46444,45508,42495
"235801009",67058,38448,38072,38105,37213,36164
"235841009",110555,60255,59991,60001,58769,54750
"235871018",57305,33509,33222,33165,32655,31531
"235911010",116783,64214,63542,63570,62184,55581
"235981008",91597,49390,49122,49064,48383,47528
"236011013",118405,68446,67357,67626,64823,61892
"236021009",82716,45696,45547,45491,45051,44654
"236021012",104547,56411,56006,56146,55222,52242
"236101017",122396,72172,70752,71102,67102,54552
"236121013",126510,75661,74352,74707,71245,66429
"236171012",112908,62308,61844,61854,60016,56433
"236191017",195820,112414,111542,111767,109175,98863
"236221009",132777,71136,70703,70691,68887,64350
"236241016",115752,67138,65171,65913,60269,52032
"236271016",88866,44536,43440,43541,39030,33870
"236301012",64721,36223,35415,35629,32683,29326
"236351009",106256,56861,56540,56533,55086,52407
"236361010",33288,17640,17404,17406,16902,16462
"236391015",111938,64781,64006,64149,61632,57045
"236451012",80772,47745,46739,47035,44517,40090
"236501002",163413,89836,89561,89553,88985,84218
"236511010",58219,33042,32627,32681,31491,29587
"236591003",99906,53588,53397,53400,52886,51110
"236801004",93840,50529,50286,50337,49916,49270
"236891010",78187,45467,45091,45110,44062,42435
"236921014",98256,56242,54717,55135,50663,47216
"236931009",148697,80121,79529,79697,77798,72455
"237001011",108417,61974,60853,61054,58686,55777
"237021010",76871,44365,43429,43678,41379,37898
"237031013",136651,80763,79078,79528,74549,65306
"237061012",120085,66150,65700,65768,64331,59557
"237091012",65341,37124,36891,36883,36348,36283
"237141013",134298,75223,74677,74679,72212,65959
"237171013",109869,60896,60409,60517,59081,54393
"237311009",173846,92151,91418,91432,89357,84346
"237331012",122334,72181,71507,71647,68988,61998
"237341009",130466,72965,72371,72486,70720,67117
"237361011",149707,86632,86240,86285,84874,80637
"237371009",148249,87108,86450,86466,83951,79641
"237401010",134914,75800,75413,75379,73172,67456
"237441010",123721,71530,71061,71019,69910,68139
"237611012",88077,51174,50870,50823,50279,49995
"237621012",127912,73495,72853,72926,71141,63277
"237651011",100393,56963,56608,56652,55595,53475
"237681010",140924,80969,80614,80634,79599,77070
"pos1",65914,38612,38455,38429,37931,36723
"pos2",70688,41082,40924,40890,40022,37879
"pos3",77870,45432,45242,45239,44547,42872
"pos4",48876,28683,28576,28559,28319,27992
