"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"130021014",150161,87501,85982,86407,82121,66833
"130061011",139170,75567,74866,74945,71281,60589
"130061013",151953,83881,83019,83249,80083,70762
"130061021",124017,70432,68968,69235,64631,53381
"130091013",178287,102188,100515,100887,95073,76549
"130091021",120401,69369,67789,68144,64447,60554
"130211202",39111,19161,19008,18905,18499,18312
"130271009",107566,60613,59989,60061,57286,47683
"130271205",145330,83463,82312,82682,79790,69035
"130291020",135018,75675,73719,74362,69470,62927
"130291206",68430,35047,34772,34759,34447,34271
"130301014",115497,65666,64359,64553,60609,51773
"130401014",131213,67466,66825,67006,65010,60846
"130491013",117274,66036,64625,65079,60166,48210
"130491022",146608,82627,80628,81233,74491,64300
"130501022",128774,75862,74782,75041,71036,62381
"130591010",115917,64715,64005,64034,61852,58421
"130611014",162016,93998,93040,93070,90301,81949
"130621012",56933,30220,29453,29560,28776,28741
"130651009",144527,73644,72939,72992,70596,64520
"130671010",110469,58859,58287,58233,55714,50782
"130671203",126396,71519,71283,71242,70712,67857
"130691016",152126,85280,84168,84523,80304,65902
"130701022",156224,89535,87997,88400,83003,68752
"130701203",65980,35408,35127,35123,34717,34588
"130711008",172588,101780,100751,100658,97451,83624
"130751007",122371,66790,66237,66348,64777,58142
"130751208",130214,72779,71722,71962,69046,61665
"130771202",62767,32974,32792,32752,32611,32591
"130771208",101453,58291,57450,57627,55128,50312
"130861010",108825,57497,57127,57193,55624,53040
"130861016",131229,69936,68544,68909,64532,56026
"130881204",91151,49764,49562,49451,48945,45581
"130881209",191966,107232,106224,106307,103109,90129
"130891202",119915,62259,61441,61492,59226,54831
"130921016",153161,88443,87443,87744,83909,73549
"130921201",127415,68524,68181,68022,66961,60213
"130941015",180980,102310,101486,101492,97917,85608
"130951011",159396,90567,89519,89748,87013,74870
"130951013",177710,102948,102210,102170,99303,90039
"131011005",132435,68578,68087,68121,66323,62246
"131011017",166314,97280,96052,96470,93072,80567
"131041013",148291,85404,83427,83780,77162,64858
"131041202",160865,81474,81217,81079,79661,74336
"131081009",150756,83137,82515,82516,80119,66855
"131101014",143587,79911,78817,79057,74105,58376
"131101201",119807,64004,63601,63554,60789,51484
"131131012",113869,62667,61663,61890,58178,49724
