"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"131141010",38546,21178,20967,20919,20577,20577
"131141203",81115,43234,42699,42824,41194,40023
"131161202",90515,47765,47437,47419,46522,44593
"131191204",123450,67774,66818,66962,64654,60751
"131211011",115147,64362,63489,63574,60561,52081
"131241010",106238,58965,58102,58249,54969,45852
"131241013",147544,85870,85121,85049,82514,75217
"131271202",67874,37049,36859,36771,36461,35497
"131331201",103357,55127,54742,54685,53153,49205
"131341007",143672,73789,73369,73402,71901,65307
"131361014",159236,88161,87657,87672,85157,73424
"131391012",142174,78563,77316,77589,74627,69179
"131391201",84768,47741,46978,47111,45371,41157
"131411018",150433,87510,85791,86343,81702,73609
"131481204",108773,55891,55593,55586,54586,52882
"131541017",127214,72016,70513,70906,65903,56435
"131541215",68238,38491,37672,37781,36599,35936
"131561014",27365,14681,14544,14464,14381,14381
"131621010",123226,70328,69880,69701,68436,58835
"131621013",193538,113653,112064,112319,107885,86362
"131631015",152400,84825,83373,83740,78882,60589
"131641010",127386,70662,69181,69699,66111,58088
"131641016",149351,88512,87667,87569,85251,77889
"131751014",186757,111568,110243,110483,107072,98480
"131801017",142826,80708,79426,79565,75677,66826
"131841008",141451,75225,74876,74858,73320,64307
"131891016",117413,68554,66554,66843,60786,50688
"131911012",141735,78801,77409,77820,73727,62072
"131971008",138607,76894,76443,76525,74323,57250
"132011204",106923,61931,61185,61162,59908,57647
"132061017",82206,49394,48840,48742,46515,40030
"132131203",117811,68510,66958,67269,63217,56072
"132181206",117327,65472,64966,65022,63693,55867
"132211017",219182,117534,116120,116389,111142,95722
"132211206",112058,59246,58859,58884,57693,53987
"132261212",116130,65222,64692,64789,62990,56351
"132281203",137143,74410,73774,73850,71469,64778
"132291011",197174,114436,112920,113297,107656,86302
"132351007",114953,59868,59251,59320,57351,51926
"132351202",91438,52709,52110,51993,50215,43906
"132451209",118788,69471,67853,68142,63619,53345
"132471010",146758,79569,78390,78685,74866,65967
"132491009",135911,77102,75943,76025,71773,54924
"132541017",147406,85419,84547,84348,82319,78294
"132551202",124287,65745,64988,65142,63530,59706
"132631007",148412,82608,81459,81518,78517,70636
"132671207",153258,87316,86222,86458,83113,72908
"132681011",204833,114269,112510,113030,106518,90345
"132701206",127819,72885,72227,72386,70950,66925
"132711009",139622,77876,77147,77158,74367,61206
"132761006",164513,85976,85577,85563,84044,69268
"132761010",197258,107651,107081,106998,104901,97279
"132761014",134732,70934,69780,69971,65869,55594
"132811201",114610,66671,66382,66299,65768,63817
"132861206",92464,52422,52000,52009,50914,46076
"132901009",163380,92819,91842,92103,87188,72361
"132911007",225091,122101,121285,121200,118688,108538
"132931015",197569,114021,112578,112692,107916,89406
"133011204",116701,67853,67086,67035,65050,57063
"133021008",145136,78776,77433,77876,72934,61923
"133081204",133162,74691,73835,73999,71068,64481
"133091013",146819,79063,77782,78078,74947,70444
"133141006",128838,71728,70669,70775,68120,64241
"133141014",145834,85141,82618,83384,77206,65558
"133261008",145734,81236,80478,80641,78508,72144
"133271204",117948,63703,62923,63044,60198,56430
"133391012",168077,98309,97428,97377,95289,91315
"133431011",145077,74998,74413,74407,72342,65525
"133451008",203712,115113,113864,114224,111114,103190
"133491014",135436,75835,74351,74657,69128,60035
"133621007",166869,87128,86552,86659,83476,68843
"235041012",110129,62217,61568,61670,59608,53115
"235041014",128292,68440,67713,67820,65541,59894
"235041016",139465,77879,77156,77006,74297,63707
"235051017",110014,58727,57749,57966,54649,48792
"235051022",145206,81816,80544,80665,76580,65908
"235071008",121088,67781,67247,67235,65599,57242
"235071013",139211,77867,77053,77107,74469,65644
"235081020",47804,27103,26881,26764,25955,23459
"235111016",105008,59228,57782,58097,54058,48767
"235171013",82313,45936,45499,45608,44525,43705
"235201014",41853,21749,21606,21589,21180,20879
"235281018",102261,58298,57246,57482,54607,50390
"235291016",120389,67605,66728,66802,63878,56575
"235301022",140810,82008,80244,80554,76515,65660
"235371017",83356,46734,46333,46341,45231,44024
"235381020",141299,83965,83289,83147,81339,72682
"235451018",175130,101610,1e+05,100260,94112,71509
"235491013",28000,15419,15165,15215,14640,13521
"235491019",70924,41134,40100,40360,37141,33878
"235511014",77624,43359,42840,43007,41862,40573
"235571013",100897,54891,54294,54352,52953,50984
"235581007",115766,62476,62135,62064,61143,55176
"235691010",39058,22819,22722,22635,22563,22538
"235691021",118642,68277,67161,67244,61773,48329
"235701020",134618,77160,76472,76500,74407,66584
"235711014",91998,51514,51100,51028,50072,48647
"235731011",111415,63140,62285,62489,59746,53611
"235801010",108362,62316,61831,61854,60476,52311
"235841010",98490,54961,54493,54525,53477,51084
"235871019",109225,59687,59257,59191,58208,54414
"235911011",110042,62449,61770,61848,60689,57929
"235981009",116765,63033,62429,62455,60455,56620
"236011014",167940,96125,95549,95589,93560,81871
"236021010",145304,83702,83230,83134,81791,78303
"236021013",146919,82551,81951,82019,80098,74078
"236101018",158580,90045,88880,88975,85449,71664
"236121014",109431,64821,63846,63969,61405,56160
"236171013",137472,77942,77288,77331,75681,67335
"236191018",117971,67854,66918,66920,62898,50171
"236221010",135308,70060,69274,69237,66821,61094
"236241017",97116,54581,53894,53961,52561,50867
"236271017",159381,94032,91351,92235,84658,72783
"236301013",116107,67472,66025,66261,62390,55973
"236351010",111816,60383,60031,59849,58614,54444
"236361011",66510,37323,36503,36683,34889,32162
"236391016",123804,71369,70193,70405,67566,59932
"236451013",121662,70405,67598,68340,62396,55271
"236501003",115237,61068,60692,60801,60139,59217
"236511201",64628,36743,36363,36345,35546,34417
"236591004",80841,43724,43591,43561,43421,42512
"236801005",99438,53623,53400,53353,53075,52337
"236891011",94122,55045,54838,54652,54020,51469
"236921015",138658,80758,80144,79958,78592,68636
"236931010",102071,59356,58949,58802,57418,54861
"237001012",98066,56930,55705,56036,53179,47739
"237021011",142077,81324,79705,79890,74394,63139
"237031014",94035,54875,54157,54131,52758,50870
"237061013",161498,92668,91311,91357,87408,71563
"237091013",126502,72850,71380,71690,66491,53126
"237141014",159420,96725,95447,95774,92473,71599
"237171014",119321,66315,65427,65507,63114,56353
"237311010",106883,58207,57621,57541,55328,47280
"237331013",110087,61161,60914,61037,60645,58911
"237341010",119127,67363,66575,66626,64861,61477
"237361012",120176,66774,66317,66279,64947,62382
"237371010",57187,33131,32820,32682,31595,26553
"237401011",184468,106603,106090,105763,103191,83584
"237441011",154449,91308,90565,90527,87946,80592
"237531001",75935,41084,40866,40816,40151,39020
"237611013",98326,55762,55278,55239,53705,50466
"237621013",138397,80274,79456,79418,76756,70395
"237651012",126720,73498,72958,72813,71218,66160
"237681011",102159,59418,58772,58977,57777,55315
"HM-782D-Pos1",76616,43922,43739,43606,43076,41104
"HM-782D-Pos2",84541,48173,47939,47849,47225,45408
"HM-782D-Pos3",70120,39832,39652,39649,39248,37471
"HM-782D-Pos4",50467,28996,28913,28846,28597,28410
"HM-782D-Pos5",61917,35451,35334,35290,35057,34841
"HM-782D-Pos6",67108,38427,38267,38191,37705,37206
